normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc
0.5421433454 0.7132143616 0.9318681457 0.9207038819 0.7795610498 0.7058845659 0.499256684 0.4305389126 1.015901156
0.5533903698 0.7208048537 0.9354586743 0.9297269751 0.7472320765 0.7410018058 0.5093587583 0.4307843075 1.015286645
0.5536354852 0.6597565811 0.9143039519 0.8076848885 0.7024322904 0.7146114349 0.5105585991 0.4305532539 0.8890345105
0.5416861109 0.711979795 0.9319332372 0.9201885233 0.7789640924 0.7056759419 0.4995317694 0.4304879215 1.017086673
0.5532819534 0.7188640732 0.9354523751 0.9247922011 0.7456806091 0.7402596514 0.5093294938 0.4307365033 1.016325332
0.4722336138 0.6257264849 0.8972331933 0.8249278066 0.6566127021 0.6647582697 0.4370990776 0.362215565 0.9126687187
0.4650592755 0.6491581407 0.906161221 0.8619674029 0.7054388414 0.6305906682 0.4309711102 0.3620864937 1.015906594
0.4720969148 0.651541482 0.9112299555 0.8919042642 0.6779290553 0.6717682654 0.4380882146 0.3622601823 1.015150691
0.472172335 0.611986177 0.892573905 0.7971733015 0.6464240076 0.6598481947 0.4391709978 0.3621342979 0.8890562631
0.4648471564 0.6479643775 0.9061297252 0.8611842882 0.7027058959 0.630111859 0.4309476986 0.362040283 1.017113864
0.4720120672 0.6499470078 0.9110976729 0.8860136297 0.6742913463 0.6713760978 0.438070656 0.3622171585 1.016156749
0.4113460133 0.5685200162 0.8714527783 0.7782461111 0.5953406233 0.6084149589 0.385066957 0.3132385748 0.8889746908
0.4063117208 0.592317857 0.881995494 0.7910868883 0.6339034484 0.5671587002 0.3781020274 0.3131525272 1.017108426
0.4112375969 0.5919977066 0.8876878466 0.8413530609 0.6119310639 0.6134994573 0.3841948776 0.3132752247 1.015732573
1 1 1 1 1 1 1 1 1
0.8860260671 0.9959866123 1.000766399 1.019396483 1.035481654 1.012992832 0.9604871939 0.9988797884 1.011469062
1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1
0.8860260671 0.9959866123 1.000766399 1.019396483 1.035481654 1.012992832 0.9604871939 0.9988797884 1.011469062
1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1
0.8860260671 0.9959866123 1.000766399 1.019396483 1.035481654 1.012992832 0.9604871939 0.9988797884 1.011469062
1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1
0.8860260671 0.9959866123 1.000766399 1.019396483 1.035481654 1.012992832 0.9604871939 0.9988797884 1.011469062
1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1
0.8860260671 0.9959866123 1.000766399 1.019396483 1.035481654 1.012992832 0.9604871939 0.9988797884 1.011469062
1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1
0.8860260671 0.9959866123 1.000766399 1.019396483 1.035481654 1.012992832 0.9604871939 0.9988797884 1.011469062
1 1 1 1 1 1 1 1 1
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.754667798 0.8880300397 0.9799959265 1.001770645 0.9581632368 0.8883872792 0.7340040736 0.6982360252 1.011615892
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.754667798 0.8880300397 0.9799959265 1.001770645 0.9581632368 0.8883872792 0.7340040736 0.6982360252 1.011615892
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.754667798 0.8880300397 0.9799959265 1.001770645 0.9581632368 0.8883872792 0.7340040736 0.6982360252 1.011615892
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.754667798 0.8880300397 0.9799959265 1.001770645 0.9581632368 0.8883872792 0.7340040736 0.6982360252 1.011615892
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.754667798 0.8880300397 0.9799959265 1.001770645 0.9581632368 0.8883872792 0.7340040736 0.6982360252 1.011615892
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6434278442 0.7948537405 0.9573839955 0.9709441426 0.8720645709 0.7888815927 0.594207988 0.5313308688 1.011615892
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6434278442 0.7948537405 0.9573839955 0.9709441426 0.8720645709 0.7888815927 0.594207988 0.5313308688 1.011615892
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6434278442 0.7948537405 0.9573839955 0.9709441426 0.8720645709 0.7888815927 0.594207988 0.5313308688 1.011615892
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6434278442 0.7948537405 0.9573839955 0.9709441426 0.8720645709 0.7888815927 0.594207988 0.5313308688 1.011615892
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.5543849725 0.7098098872 0.9288109471 0.8967526653 0.7400872428 0.7382874132 0.5086505595 0.4306185863 0.9548089577
0.5430153904 0.716063281 0.9322565947 0.9223593633 0.7831303575 0.7072480323 0.4992859484 0.4303875327 1.011936743
0.5543849725 0.7098098872 0.9288109471 0.8967526653 0.7400872428 0.7382874132 0.5086505595 0.4306185863 0.9548089577
0.5543849725 0.7098098872 0.9288109471 0.8967526653 0.7400872428 0.7382874132 0.5086505595 0.4306185863 0.9548089577
0.5430153904 0.716063281 0.9322565947 0.9223593633 0.7831303575 0.7072480323 0.4992859484 0.4303875327 1.011936743
0.5543849725 0.7098098872 0.9288109471 0.8967526653 0.7400872428 0.7382874132 0.5086505595 0.4306185863 0.9548089577
0.5543849725 0.7098098872 0.9288109471 0.8967526653 0.7400872428 0.7382874132 0.5086505595 0.4306185863 0.9548089577
0.5430153904 0.716063281 0.9322565947 0.9223593633 0.7831303575 0.7072480323 0.4992859484 0.4303875327 1.011936743
