configurations,ipc,lifetime,energy
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.5-slow_latency_rate=4.0--benchmark=leslie3d,0.728918,7.0694,8160539865
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=leslie3d,0.84017,3.5875,9823091330
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=leslie3d,0.852513,4.7498,9520695404
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=2.5--benchmark=leslie3d,0.739982,9.7192,7835692644
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=2.5-normal_cancellation=true--benchmark=leslie3d,0.758025,6.3533,9548506584
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=2.5-slow_cancellation=true--benchmark=leslie3d,0.77104,7.8457,8665263229
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=3.0--benchmark=leslie3d,0.720019,10.8262,8097855017
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=3.0-normal_cancellation=true--benchmark=leslie3d,0.756467,6.6361,9841645744
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=3.0-slow_cancellation=true--benchmark=leslie3d,0.768714,8.4016,9073498947
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=3.5--benchmark=leslie3d,0.700186,11.6987,8256629725
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=leslie3d,0.755068,6.7803,10038703619
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=leslie3d,0.766542,8.7293,9358414173
