configurations,ipc,lifetime,energy
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=milc,0.265048,11.5707,36153663145
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=3.0--benchmark=milc,0.233952,19.7459,33715967216
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=3.0-normal_cancellation=true--benchmark=milc,0.2515,12.4805,37824840246
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=3.0-slow_cancellation=true--benchmark=milc,0.241532,16.6698,35416212065
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=3.5--benchmark=milc,0.229013,21.7026,34108227259
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=3.5-normal_cancellation=true--benchmark=milc,0.250731,13.0262,38215622665
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=3.5-slow_cancellation=true--benchmark=milc,0.240333,17.8515,36047424978
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=4.0--benchmark=milc,0.225924,22.9357,34481229147
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=milc,0.250539,13.3516,38614379110
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=2.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=milc,0.239834,18.5813,36638114930
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=3.5--benchmark=milc,0.211187,30.6727,35162074084
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=milc,0.226891,19.7143,39870104915
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=milc,0.218043,25.9577,37085662804
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=4.0--benchmark=milc,0.20791,33.0964,35546363758
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=milc,0.226012,20.5009,40288680311
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=milc,0.216873,27.5491,37726522894
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.5-slow_latency_rate=4.0--benchmark=milc,0.19148,45.2368,36334951908
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=milc,0.203883,29.7295,41369647169
is_bank_aware=true-bank_aware_threshold=1-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=milc,0.196816,38.5319,38416501547
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=1.5--benchmark=milc,0.336383,3.9075,30495529418
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=1.5-normal_cancellation=true--benchmark=milc,0.347303,2.4595,32840062944
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=1.5-slow_cancellation=true--benchmark=milc,0.347211,2.8937,32607420710
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=2.0--benchmark=milc,0.328563,6.2117,31551336989
