name est_rate est_power online_rate online_power offline_rate offline_power
BACKPROP 0.719964100782572 0.892828683942554 0.793659642941318 0.88853479588913 0.184636217111954 0.86936579429609
BFS 0.823904626272767 0.878631515412368 0.89816046871771 0.842732751301944 0.575407278058982 0.852092348869978
BLACKSCHOLES_10M 0.885151261149641 0.977988637716766 0.716508918642902 0.953515577303971 0.756852506348361 0.970954986725613
BODYTRACK 0.969001539299268 0.985709461072747 0.927940874453733 0.935257012719958 0.919569974343598 0.974777566354993
FACESIM 0.966556129510912 0.981305151915594 0.922812084967681 0.931806855075173 0.958392118061156 0.956804496382997
FERRET 0.96014188605113 0.960733355203333 0.887610334095818 0.943588455079607 0.868144512290691 0.965398447676966
HEARTWALL 0.951658414931319 0.969550805528492 0.825249446195323 0.948526145579598 0.880133530935098 0.971920119251869
HOTSPOT 0.85277428567569 0.874613495117298 0.929045092906887 0.873133190562595 0.660438138418357 0.848278855071538
JACOBI 0.879918782630708 0.961972949448346 0.86948425501969 0.925665432287013 0.788077173061669 0.918874505419416
KMEANS 0.959644856149995 0.977666824993541 0.898507304440875 0.930031471591013 0.843254867740003 0.964295746892199
KMEANSNF 0.929439243710991 0.97633648675984 0.815100654810277 0.930474068561233 0.869481999154547 0.972043746076103
LAVAMD 0.792188219016941 0.96499939803398 0.575333575127237 0.962558768877511 0.683229728954576 0.945520811460134
LEUKOCYTE 0.921137719961322 0.953907064196824 0.761638197456482 0.897852290263474 0.902824430401226 0.964203810871955
LUD 0.739558092108162 0.713045609193863 -0.149045225884971 0.709990919679893 0.134787385704025 0.68439412531762
NW 0.899809931932511 0.965528845365128 0.917898327315283 0.913158778330862 0.7851699567115 0.927606375288847
SHA 0.956896026737317 0.984184274711201 0.924825803131614 0.936426889782721 0.898214256974004 0.972798291100282
SRAD 0.702802487359644 0.574749211197292 0.297713184952361 0.480523809105839 0.287335824327348 0.46093409606131
STREAM 0.58497212645431 0.747819751594401 0.306695116433297 0.765022389043884 0.243282588158967 0.682234897894329
X264_ducks 0.966436784887711 0.933804224535539 0.860219150191631 0.898314316933722 0.909595423936753 0.93884253395774
X264_native 0.965073573059156 0.957663186837602 0.889625390230827 0.939898904005105 0.887240348481062 0.964446573736973
